price,latitude,longitude,city,operation,surface,rooms,elevator,parking
850,41.619785,2.6674514,Barcelona,rent,79,3,1,0
850,41.62795,2.687959,Barcelona,rent,80,3,1,0
2050,41.393654,2.1233885,Barcelona,rent,100,3,1,0
2500,40.416355,-3.6735356,Barcelona,rent,100,3,1,0
2400,40.45345,-3.8653924,Barcelona,rent,160,3,1,0
940,40.383953,-3.6460845,Barcelona,rent,57,2,1,0
1350,41.406742,2.1690667,Barcelona,rent,66,1,1,0
1450,41.400356,2.1469994,Barcelona,rent,45,1,1,0
1790,41.44884,2.24204,Barcelona,rent,66,1,1,0
1800,40.47144,-3.708371,Barcelona,rent,92,2,1,0
2000,39.472874,-0.377809,Barcelona,rent,60,1,1,0
7800,41.403713,2.117856,Barcelona,rent,200,3,1,0
2750,40.417824,-3.7109077,Barcelona,rent,150,4,1,0
3000,40.425785,-3.694507,Barcelona,rent,110,3,1,0
1100,41.115795,1.2511525,Barcelona,rent,91,3,1,0
1250,41.11358,1.2520505,Barcelona,rent,120,4,1,0
4900,40.444046,-3.6919541,Barcelona,rent,218,3,1,0
2000,41.383366,2.172905,Barcelona,rent,60,1,1,0
1700,40.452145,-3.6727512,Barcelona,rent,80,2,1,0
3650,40.452248,-3.696132,Barcelona,rent,220,3,1,0
1500,41.381496,2.168843,Barcelona,rent,76,2,1,0
675,38.02033,-1.1788936,Barcelona,rent,149,4,1,0
930,40.39578,-3.6628537,Barcelona,rent,52,2,1,0
2450,40.465546,-3.7849102,Barcelona,rent,153,3,1,0
4700,41.39337,2.1741824,Barcelona,rent,190,4,1,0
860,41.53209,2.1195147,Barcelona,rent,65,3,0,0
3500,40.454594,-3.6899812,Barcelona,rent,272,5,1,0
1040,41.44883,2.2120655,Barcelona,rent,65,3,1,0
840,39.513607,-0.41191536,Barcelona,rent,79,3,1,0
950,40.244507,-3.7637541,Barcelona,rent,84,3,0,0
1800,40.433033,-3.673362,Barcelona,rent,95,4,1,0
1295,40.441147,-3.7008567,Barcelona,rent,55,1,1,0
950,40.49585,-3.871473,Barcelona,rent,63,1,1,0
1250,42.810978,-1.6714134,Barcelona,rent,110,3,1,0
1350,40.457047,-3.7087865,Barcelona,rent,48,1,1,0
1500,40.427395,-3.641022,Barcelona,rent,36,1,0,0
2200,40.436497,-3.6827607,Barcelona,rent,134,1,1,0
1500,40.47671,-3.6987474,Barcelona,rent,109,2,1,0
2790,40.46157,-3.6865156,Barcelona,rent,150,3,1,0
1500,39.569553,2.6549976,Barcelona,rent,110,3,1,0
1100,40.42285,-3.6903472,Barcelona,rent,35,0,1,0
920,40.390884,-3.7306888,Barcelona,rent,65,1,1,0
1500,39.477684,-0.3761729,Barcelona,rent,189,4,0,0
1250,41.41155,2.1800413,Barcelona,rent,71,3,1,0
790,39.49368,-0.4664664,Barcelona,rent,60,3,0,0
790,41.12072,1.25231,Barcelona,rent,106,4,1,0
750,36.605255,-5.79848,Barcelona,rent,115,4,1,0
790,40.462803,-3.7043464,Barcelona,rent,56,1,1,0
1550,41.384296,2.1603909,Barcelona,rent,66,2,1,0
800,40.30896,-3.72528,Barcelona,rent,67,3,1,0
900,38.342102,-0.50479937,Barcelona,rent,75,2,1,0
900,40.4097,-3.6690216,Barcelona,rent,47,1,1,0
2200,41.36861,2.141763,Barcelona,rent,100,4,1,0
850,37.172363,-3.605507,Barcelona,rent,100,2,1,0
1200,40.470444,-3.6686683,Barcelona,rent,55,1,1,0
2500,41.38497,2.1738987,Barcelona,rent,78,2,1,0
1890,41.443,2.1816459,Barcelona,rent,80,3,1,0
4500,40.463768,-3.6732337,Barcelona,rent,200,4,0,0
1390,41.372063,2.1644766,Barcelona,rent,47,2,1,0
3500,36.525265,-4.9038134,Barcelona,rent,265,3,1,0
1500,39.318523,2.997891,Barcelona,rent,100,3,0,0
3250,39.83579,3.1203544,Barcelona,rent,330,4,0,0
1400,37.984043,-1.1272635,Barcelona,rent,130,2,1,0
1495,41.383453,2.181199,Barcelona,rent,53,2,0,0
1650,36.7154,-4.4249234,Barcelona,rent,115,3,1,0
850,40.487904,-3.3596044,Barcelona,rent,72,3,1,0
980,42.80324,-1.673359,Barcelona,rent,118,2,1,0
565,37.941452,-1.1161945,Barcelona,rent,73,2,1,0
1500,39.47781,-0.38232684,Barcelona,rent,70,1,0,0
2500,40.426617,-3.6621196,Barcelona,rent,80,2,1,0
3000,40.42883,-3.6767695,Barcelona,rent,134,2,1,0
850,39.421635,-0.3394327,Barcelona,rent,75,2,1,0
2500,40.42744,-3.7080925,Barcelona,rent,111,3,1,0
1200,39.461227,-0.33760852,Barcelona,rent,100,3,1,0
2500,40.42877,-3.714313,Barcelona,rent,160,3,1,0
1700,39.46691,-0.35909674,Barcelona,rent,110,3,1,0
800,37.88861,-4.7811947,Barcelona,rent,92,2,1,0
975,36.80431,-2.5803936,Barcelona,rent,140,4,1,0
1100,39.51919,2.4777792,Barcelona,rent,51,1,1,0
2500,38.37515,-0.41610637,Barcelona,rent,102,3,1,0
4200,40.447083,-3.6873872,Barcelona,rent,213,4,1,0
1025,37.40724,-5.9680467,Barcelona,rent,105,4,1,0
875,36.527935,-6.2898116,Barcelona,rent,92,2,1,0
2100,40.418037,-3.675533,Barcelona,rent,110,3,1,0
1500,36.506416,-4.7888045,Barcelona,rent,168,2,1,0
1650,41.414547,1.9208615,Barcelona,rent,276,4,0,0
1400,39.46175,-0.35016045,Barcelona,rent,99,2,1,0
4200,40.507515,-3.6081889,Barcelona,rent,291,4,1,0
725,42.342655,-7.863997,Barcelona,rent,50,2,1,0
1700,39.48107,-0.32692006,Barcelona,rent,88,2,1,0
960,40.289936,-3.7943006,Barcelona,rent,75,3,1,0
900,41.389256,2.1791613,Barcelona,rent,50,1,1,0
1500,39.458576,-0.3715357,Barcelona,rent,65,2,1,0
800,40.501305,-4.0651207,Barcelona,rent,85,2,0,0
4200,40.46652,-3.7280042,Barcelona,rent,320,5,0,0
3700,40.52412,-3.6446052,Barcelona,rent,260,4,0,0
2200,36.725292,-4.4158893,Barcelona,rent,135,5,1,0
1150,36.712177,-4.428465,Barcelona,rent,60,1,1,0
2000,40.44706,-3.7094378,Barcelona,rent,107,3,1,0
620,38.01942,-1.1796693,Barcelona,rent,102,3,1,0
1200,40.42092,-3.7092557,Barcelona,rent,87,4,1,0
700,37.891853,-4.798482,Barcelona,rent,106,3,1,0
850,40.438046,-3.6374838,Madrid,rent,50,1,1,0
1700,40.44506,-3.700157,Madrid,rent,120,2,1,0
1050,40.37527,-3.62695,Madrid,rent,90,2,1,0
2450,40.427303,-3.6861687,Madrid,rent,90,1,1,0
1500,40.447327,-3.7099147,Madrid,rent,120,2,1,0
2400,40.44613,-3.6998477,Madrid,rent,170,3,1,0
1120,40.485687,-3.652047,Madrid,rent,51,1,1,0
1100,40.42463,-3.6703618,Madrid,rent,50,1,1,0
2600,40.421936,-3.690208,Madrid,rent,34,1,1,0
2900,40.42215,-3.6899562,Madrid,rent,60,1,1,0
5900,40.42334,-3.685865,Madrid,rent,332,5,1,0
2900,40.422333,-3.689928,Madrid,rent,60,1,1,1
3550,40.422207,-3.6898549,Madrid,rent,100,2,1,0
1495,40.485687,-3.652047,Madrid,rent,60,2,1,0
2000,40.452557,-3.7033265,Madrid,rent,180,2,0,0
1450,40.414642,-3.6961176,Madrid,rent,88,3,0,0
1150,40.48107,-3.7307653,Madrid,rent,71,2,1,0
2500,40.45246,-3.6719847,Madrid,rent,366,2,0,0
10000,40.46447,-3.749483,Madrid,rent,630,4,1,0
2400,40.42169,-3.7095253,Madrid,rent,120,2,0,0
1500,40.453884,-3.5882487,Madrid,rent,173,4,1,1
1600,40.466026,-3.7078269,Madrid,rent,45,1,1,0
957,40.358994,-3.7008636,Madrid,rent,78,2,1,1
2300,40.43627,-3.6933415,Madrid,rent,105,2,1,0
1750,40.41549,-3.67243,Madrid,rent,105,3,0,0
1465,40.34011,-3.67954,Madrid,rent,45,1,1,0
1525,40.4856,-3.65159,Madrid,rent,60,2,1,0
1800,40.4224,-3.66528,Madrid,rent,85,1,1,0
1700,40.442,-3.67385,Madrid,rent,60,2,0,0
1700,40.404095,-3.7067125,Madrid,rent,96,2,1,0
1235,40.39781,-3.5531,Madrid,rent,85,2,1,0
1800,40.41259,-3.7012835,Madrid,rent,90,3,1,0
1325,40.39781,-3.5531,Madrid,rent,108,2,1,0
